Molecule,Replicate,Ext_Reference,Area,Ratio_To_Standard,Amount ng/ml,Amount nmol/mL,Amount nmol/well,Amount nmol/1e6 cells seeded,Cells,Incubation_Time,Dose_Level,Dose_uM,Dose_IC,Dose_nmol/well
Diclofenac,14703077,DICLO_MZ_6h_P18_D2_D3,8074819,1.0629,1993.8858,6.268110028,1.880433008,18.80433008,cells,6,3,1000,IC85,500
Diclofenac,14703078,DICLO_MZ_48h_P02_A1_VC,4099,0.0005,1.621,0.005095882,0.001528765,0.015287645,cells,48,C,0,Control,0
Diclofenac,14703079,DICLO_MZ_48h_P02_B1_D1,460384,0.0593,109.8469,0.345321911,0.103596573,1.035965734,cells,48,1,50,IC01,25
Diclofenac,14703080,DICLO_MZ_48h_P02_C1_D2,3602428,0.4537,841.6993,2.646021063,0.793806319,7.938063188,cells,48,2,320,IC50,160
Diclofenac,14703081,DICLO_MZ_48h_P02_D1_D3,4313550,0.5554,1032.2087,3.244918893,0.973475668,9.73475668,cells,48,3,1000,IC85,500
Diclofenac,14703082,DICLO_MZ_24h_P10_A1_VC,6244,0.0008,2.1347,0.006710783,0.002013235,0.020132348,cells,24,C,0,Control,0
Diclofenac,14703083,DICLO_MZ_24h_P10_B1_D1,446526,0.0566,104.7913,0.329428796,0.098828639,0.988286388,cells,24,1,50,IC01,25
Diclofenac,14703084,DICLO_MZ_24h_P10_C1_D2,3528131,0.4621,857.4,2.695378812,0.808613644,8.086136435,cells,24,2,320,IC50,160
Diclofenac,14703085,DICLO_MZ_24h_P10_D1_D3,4256191,0.555,1031.3402,3.24218862,0.972656586,9.72656586,cells,24,3,1000,IC85,500
Diclofenac,14703086,DICLO_MZ_6h_P18_A1_VC,6785,0.0008,2.2198,0.006978309,0.002093493,0.020934926,cells,6,C,0,Control,0
Diclofenac,14703087,DICLO_MZ_6h_P18_B1_D1,549809,0.0691,127.7926,0.40173719,0.120521157,1.205211569,cells,6,1,50,IC01,25
Diclofenac,14703088,DICLO_MZ_6h_P18_C1_D2,4557261,0.5792,1076.8052,3.385115373,1.015534612,10.15534612,cells,6,2,320,IC50,160
Diclofenac,14703089,DICLO_MZ_6h_P18_D1_D3,8638347,1.111,2085.9319,6.557472179,1.967241654,19.67241654,cells,6,3,1000,IC85,500
Isavuconazole,14705124,ISA_OZ_6h_P21_A6_VC,8836,0.0013,-17.2565,-0.039443429,-0.011833029,-0.118330286,no cells,6,C,0,Control,0
Isavuconazole,14705125,ISA_OZ_6h_P21_B6_D1,104309,0.015,1.9307,0.004413029,0.001323909,0.013239086,no cells,6,1,0.7,IC01,0.35
Isavuconazole,14705126,ISA_OZ_6h_P21_C6_D2,1281880,0.1933,252.2494,0.576570057,0.172971017,1.729710171,no cells,6,2,16,IC50,8
Isavuconazole,14705127,ISA_OZ_6h_P21_D6_D3,2602036,0.3833,519.9765,1.188517714,0.356555314,3.565553143,no cells,6,3,57,IC85,28.5
Isavuconazole,14705128,ISA_OZ_3h_P29_A6_VC,14292,0.0021,-16.1042,-0.0368096,-0.01104288,-0.1104288,no cells,3,C,0,Control,0
Isavuconazole,14705129,ISA_OZ_3h_P29_B6_D1,106857,0.0156,2.7917,0.006381029,0.001914309,0.019143086,no cells,3,1,0.7,IC01,0.35
Isavuconazole,14705130,ISA_OZ_3h_P29_C6_D2,1087723,0.1576,202.0268,0.461775543,0.138532663,1.385326629,no cells,3,2,16,IC50,8
Isavuconazole,14705131,ISA_OZ_3h_P29_D6_D3,2436431,0.3496,472.4131,1.079801371,0.323940411,3.239404114,no cells,3,3,57,IC85,28.5
Isavuconazole,14705132,ISA_OZ_0h_P37_A6_VC,9609,0.0014,-17.0854,-0.039052343,-0.011715703,-0.117157029,no cells,0,C,0,Control,0
Isavuconazole,14705133,ISA_OZ_0h_P37_B6_D1,116511,0.0169,4.5613,0.010425829,0.003127749,0.031277486,no cells,0,1,0.7,IC01,0.35
